Wavelength	Guineapig2022_00000.asd.sco	Guineapig2022_00001.asd.sco	Guineapig2022_00002.asd.sco	Guineapig2022_00003.asd.sco	Guineapig2022_00004.asd.sco	Guineapig2022_00005.asd.sco	Guineapig2022_00006.asd.sco	Guineapig2022_00007.asd.sco	Guineapig2022_00008.asd.sco	Guineapig2022_00009.asd.sco	Guineapig2022_00010.asd.sco	Guineapig2022_00011.asd.sco	Guineapig2022_00012.asd.sco	Guineapig2022_00013.asd.sco	Guineapig2022_00014.asd.sco	Guineapig2022_00015.asd.sco	Guineapig2022_00016.asd.sco	Guineapig2022_00017.asd.sco	Guineapig2022_00018.asd.sco
363	0.108185768127441	3.70038226246834E-02	4.12422753870487E-02	3.94342169165611E-02	6.08852878212929E-02	0.050637848675251	0.102885350584984	8.53971987962723E-02	0.073382593691349	5.62061220407486E-02	4.04644496738911E-02	0.119842685759068	0.242090091109276	0.194377422332764	0.123601756989956	6.75836354494095E-02	0.122255273163319	0.126229465007782	 0.97116631269455 
364	0.106339626014233	3.60380299389362E-02	4.10565324127674E-02	3.86513397097588E-02	6.08162619173527E-02	5.12173883616924E-02	0.101287104189396	8.62748995423317E-02	7.36532285809517E-02	5.58821484446526E-02	4.10453081130981E-02	0.118353724479675	0.243136823177338	0.194517090916634	0.12309542298317	6.75823241472244E-02	0.120267018675804	0.124884314835072	 0.971643090248108 
365	0.106541022658348	3.68226356804371E-02	4.23683039844036E-02	3.87251935899258E-02	6.36223256587982E-02	0.052029762417078	0.102130860090256	8.77822786569595E-02	7.31183290481567E-02	0.055662427097559	4.38143759965897E-02	0.119988277554512	0.243921309709549	0.196935445070267	0.124229669570923	6.78260922431946E-02	0.120016343891621	0.12621220946312	 0.97061824798584 
366	0.106021620333195	3.43005768954754E-02	4.06971611082554E-02	0.036732591688633	5.98140209913254E-02	5.03174513578415E-02	0.104887910187244	8.63843411207199E-02	7.40694403648376E-02	5.39991110563278E-02	4.05381843447685E-02	0.117598704993725	0.24622268974781	0.194591507315636	0.121669009327888	6.58795386552811E-02	0.119195453822613	0.126499593257904	 0.970961034297943 
367	0.107046149671078	3.56546305119991E-02	0.041812539100647	4.04598526656628E-02	6.06830753386021E-02	5.33190034329891E-02	0.106653094291687	8.65391194820404E-02	0.075685016810894	5.58751448988914E-02	0.041737325489521	0.119144082069397	0.24923974275589	0.195616185665131	0.124450534582138	6.74979165196419E-02	0.122178316116333	0.128812894225121	 0.969073474407196 
368	0.108127318322659	3.82264368236065E-02	4.31252829730511E-02	4.31604646146297E-02	0.063813790678978	5.61857521533966E-02	0.106765866279602	8.82810577750206E-02	7.72139653563499E-02	5.84902763366699E-02	4.42255772650242E-02	0.121545098721981	0.250751435756683	0.197124883532524	0.127153620123863	6.93190395832062E-02	0.12432549893856	0.13122470676899	 0.967953681945801 
369	0.107790887355804	3.79608348011971E-02	4.15573045611382E-02	3.86330895125866E-02	6.41631707549095E-02	5.36396540701389E-02	0.105984956026077	9.02122110128403E-02	7.79367536306381E-02	5.80680295825005E-02	4.30915579199791E-02	0.120518527925014	0.250136286020279	0.195368602871895	0.124198243021965	6.77066817879677E-02	0.121347516775131	0.131491124629974	 0.970152735710144 
370	0.108865089714527	3.68963517248631E-02	4.17546518146992E-02	3.90930287539959E-02	6.25323727726936E-02	5.24433180689812E-02	0.107234701514244	9.11654308438301E-02	7.71589726209641E-02	5.59707060456276E-02	4.28485758602619E-02	0.119683615863323	0.254309803247452	0.195762515068054	0.126079425215721	6.86978101730347E-02	0.119936272501945	0.131548434495926	 0.96929943561554 
371	0.108571760356426	3.60622331500053E-02	4.12569008767605E-02	3.95058281719685E-02	6.25431537628174E-02	5.19634373486042E-02	0.107498154044151	9.02503579854965E-02	7.64070227742195E-02	5.57910464704037E-02	4.13153655827045E-02	0.119508124887943	0.256745249032974	0.197070255875587	0.125949531793594	6.82456567883492E-02	0.120583824813366	0.131681263446808	 0.968789756298065 
372	0.107031188905239	3.54114845395088E-02	3.99705655872822E-02	3.88358719646931E-02	6.35451674461365E-02	0.051981195807457	0.106755971908569	8.90152156352997E-02	7.63477981090546E-02	5.71657679975033E-02	3.98552156984806E-02	0.119544185698032	0.256376534700394	0.197657242417336	0.124123387038708	6.62159323692322E-02	0.121402695775032	0.132040172815323	 0.968315184116364 
